date,1. open,2. high,3. low,4. close,5. volume
2020-03-09 09:31:00,263.75,266.9199,263.0,266.19,3420395.0
2020-03-09 09:32:00,266.19,267.25,265.162,267.1,351423.0
2020-03-09 09:33:00,267.124,267.93,266.87,267.8001,316993.0
2020-03-09 09:34:00,267.89,268.1291,266.635,267.41,319034.0
2020-03-09 09:35:00,267.43,267.43,267.43,267.43,0.0
2020-03-09 09:50:00,269.22,269.22,269.22,269.22,5007816.0
2020-03-09 09:51:00,268.6813,271.2135,267.7143,268.1105,391992.0
2020-03-09 09:52:00,267.71,268.93,267.0801,267.0801,421065.0
2020-03-09 09:53:00,267.66,269.735,267.66,269.735,284350.0
2020-03-09 09:54:00,269.63,272.83,269.63,272.66,408557.0
2020-03-09 09:55:00,272.4899,272.82,272.4899,272.82,342909.0
2020-03-09 09:56:00,272.85,273.45,272.5,273.45,305137.0
2020-03-09 09:57:00,273.64,274.5101,273.64,274.5101,390842.0
2020-03-09 09:58:00,274.36,274.36,270.98,270.98,343261.0
2020-03-09 09:59:00,271.08,272.01,271.08,271.86,278535.0
2020-03-09 10:00:00,272.27,273.8,271.95,272.72,211185.0
2020-03-09 10:01:00,272.6401,274.04,272.05,273.9,198230.0
2020-03-09 10:02:00,273.86,274.44,272.88,273.1299,207298.0
2020-03-09 10:03:00,273.09,273.38,272.55,273.02,173549.0
2020-03-09 10:04:00,272.92,273.43,271.5101,271.67,208522.0
2020-03-09 10:05:00,271.66,272.389,269.35,269.42,250747.0
2020-03-09 10:06:00,269.35,271.75,269.31,271.5939,220470.0
2020-03-09 10:07:00,271.54,274.38,271.03,274.38,250113.0
2020-03-09 10:08:00,274.2201,274.4,272.7757,274.28,197741.0
2020-03-09 10:09:00,274.285,274.9,273.68,274.2015,209857.0
2020-03-09 10:10:00,274.26,276.59,273.89,275.9001,439337.0
2020-03-09 10:11:00,275.87,277.22,274.8201,275.1601,399903.0
2020-03-09 10:12:00,275.16,275.4998,273.99,275.17,236623.0
2020-03-09 10:13:00,275.08,275.4999,274.63,274.7872,173469.0
2020-03-09 10:14:00,274.85,275.8186,274.71,275.67,195639.0
2020-03-09 10:15:00,275.7304,275.735,274.9,275.41,148010.0
2020-03-09 10:16:00,275.3101,277.0,275.3101,276.64,239078.0
2020-03-09 10:17:00,276.6539,277.3231,275.83,276.14,198350.0
2020-03-09 10:18:00,276.14,276.78,275.29,276.55,230594.0
2020-03-09 10:19:00,276.54,277.38,276.28,276.33,196670.0
2020-03-09 10:20:00,276.4,276.8299,275.67,276.2399,178497.0
2020-03-09 10:21:00,276.22,276.61,275.4,275.56,238430.0
2020-03-09 10:22:00,275.5,275.8699,273.68,273.85,241924.0
2020-03-09 10:23:00,273.82,274.5599,273.19,274.06,227618.0
2020-03-09 10:24:00,274.06,275.0,273.875,273.96,197427.0
2020-03-09 10:25:00,273.84,274.55,273.18,273.45,211898.0
2020-03-09 10:26:00,273.3701,273.71,272.87,273.1201,173669.0
2020-03-09 10:27:00,273.24,274.7299,272.89,274.35,151327.0
2020-03-09 10:28:00,274.34,275.46,274.0917,275.17,209689.0
2020-03-09 10:29:00,275.14,275.68,274.25,274.2767,173208.0
2020-03-09 10:30:00,274.25,274.71,273.93,274.32,137598.0
2020-03-09 10:31:00,274.32,274.87,273.66,273.77,169421.0
2020-03-09 10:32:00,273.83,274.22,273.42,273.6126,157030.0
2020-03-09 10:33:00,273.58,274.3599,273.17,273.8399,135280.0
2020-03-09 10:34:00,273.78,275.2199,273.31,275.15,160079.0
2020-03-09 10:35:00,275.1401,275.3499,274.09,274.71,146926.0
2020-03-09 10:36:00,274.65,274.76,273.83,273.9498,130459.0
2020-03-09 10:37:00,273.98,274.15,272.51,272.58,224727.0
2020-03-09 10:38:00,272.6,273.4008,272.03,273.2701,215353.0
2020-03-09 10:39:00,273.28,273.75,272.5901,273.13,133370.0
2020-03-09 10:40:00,273.13,273.54,272.93,273.53,100296.0
2020-03-09 10:41:00,273.5511,273.85,273.16,273.71,109029.0
